LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,Total Defaults,Total Bill Amount,Total Pay Amount,Overall Outstanding,default payment next month
20000,2,2,1,24,2,2,0,0,0,0,2,7704,689,7015,1
120000,2,2,2,26,0,2,0,0,0,2,2,17077,5000,12077,1
90000,2,2,2,34,0,0,0,0,0,0,0,101653,11018,90635,0
50000,2,2,1,37,0,0,0,0,0,0,0,231334,8388,222946,0
50000,1,2,1,57,0,0,0,0,0,0,0,109339,59049,50290,0
50000,1,1,2,37,0,0,0,0,0,0,0,238114,7772,230342,0
500000,1,1,2,29,0,0,0,0,0,0,0,2724595,180759,2543836,0
100000,2,2,2,23,0,0,0,0,0,0,0,13486,4791,8695,0
140000,2,3,1,28,0,0,2,0,0,0,1,65212,6761,58451,0
20000,1,3,2,35,0,0,0,0,0,0,0,26919,14129,12790,0
200000,2,3,2,34,0,0,2,0,0,0,1,34467,6472,27995,0
260000,2,1,2,51,0,0,0,0,0,2,1,88369,66308,22061,0
630000,2,2,2,41,0,0,0,0,0,0,0,41007,23370,17637,0
70000,1,2,2,30,1,2,2,0,0,2,4,338685,10700,327985,1
250000,1,1,2,29,0,0,0,0,0,0,0,373591,18000,355591,0
50000,2,3,3,23,1,2,0,0,0,0,2,196416,6200,190216,0
20000,1,1,2,24,0,0,2,2,2,2,4,106161,6350,99811,1
320000,1,1,1,49,0,0,0,0,0,0,0,966014,361897,604117,0
360000,2,1,1,49,1,0,0,0,0,0,1,0,0,0,0
180000,2,1,2,29,1,0,0,0,0,0,1,0,0,0,0
130000,2,3,2,39,0,0,0,0,0,0,0,123883,42231,81652,0
120000,2,2,1,39,0,0,0,0,0,0,0,1896,1580,316,1
70000,2,2,2,26,2,0,0,2,2,2,4,265475,11010,254465,1
450000,2,1,1,40,0,0,0,0,0,0,0,26965,22589,4376,1
90000,1,1,2,23,0,0,0,0,0,0,0,31864,16400,15464,0
50000,1,3,2,23,0,0,0,0,0,0,0,214295,7891,206404,0
60000,1,1,2,27,1,0,0,0,0,0,1,-394,2500,-2894,1
50000,2,3,2,30,0,0,0,0,0,0,0,112268,7112,105156,0
50000,2,3,1,47,0,0,0,0,0,0,0,40208,39567,641,0
50000,1,1,2,26,0,0,0,0,0,0,0,97082,6600,90482,0
230000,2,1,2,27,0,0,0,0,0,0,0,113746,97489,16257,0
50000,1,2,2,33,2,0,0,0,0,0,1,151869,6934,144935,1
100000,1,1,2,32,0,0,0,0,0,0,0,495237,18744,476493,0
500000,2,2,1,54,0,0,0,0,0,0,0,125744,158502,-32758,0
500000,1,1,1,58,0,0,0,0,0,0,0,58318,45425,12893,0
160000,1,1,2,30,0,0,0,0,0,0,0,25312,2280,23032,0
280000,1,2,1,40,0,0,0,0,0,0,0,1069977,41923,1028054,0
60000,2,2,2,22,0,0,0,0,0,0,0,32279,53349,-21070,0
50000,1,1,2,25,1,0,0,0,0,0,1,780,780,0,1
280000,1,1,2,31,0,0,2,0,0,0,1,51643,37357,14286,0
360000,1,1,2,33,0,0,0,0,0,0,0,1650751,243840,1406911,0
70000,2,1,2,25,0,0,0,0,0,0,0,392856,19342,373514,0
10000,1,2,2,22,0,0,0,0,0,0,0,22761,7227,15534,0
140000,2,2,1,37,0,0,0,0,0,0,0,385134,20000,365134,0
40000,2,1,2,30,0,0,0,2,0,0,1,147185,13000,134185,0
210000,1,1,2,29,0,0,0,0,0,0,0,0,0,0,1
20000,2,1,2,22,0,0,2,0,0,0,1,79328,20075,59253,1
